point_id,cache_alpha,alpha_basis
agen-epoch-swebench-dsv4promax-15m1h,7.432059892602646,epoch_bin_perinstance
agen-epoch-swebench-dsv4promax-lt15m,7.131975233549005,epoch_bin_perinstance
agen-epoch-swebench-gemini25pro-15m1h,2.1580142944671947,epoch_bin_perinstance
agen-epoch-swebench-gemini25pro-lt15m,2.0826927366460963,epoch_bin_perinstance
agen-epoch-swebench-gemini31pro-ct-15m1h,6.26549606929418,epoch_bin_perinstance
agen-epoch-swebench-gemini31pro-ct-gt4h,10.450695984859276,epoch_bin_perinstance
agen-epoch-swebench-gemini31pro-ct-lt15m,4.99085514640247,epoch_bin_perinstance
agen-epoch-swebench-gemini35flash-15m1h,3.160823197448548,epoch_bin_perinstance
agen-epoch-swebench-gemini35flash-1h4h,4.3519634493919845,epoch_bin_perinstance
agen-epoch-swebench-gemini35flash-gt4h,4.494020475997348,epoch_bin_perinstance
agen-epoch-swebench-gemini35flash-lt15m,2.260750283970543,epoch_bin_perinstance
agen-epoch-swebench-gemini3flash-15m1h,2.763809299242224,epoch_bin_perinstance
agen-epoch-swebench-gemini3flash-gt4h,3.972947587102026,epoch_bin_perinstance
agen-epoch-swebench-gemini3flash-lt15m,1.7058490812559257,epoch_bin_perinstance
agen-epoch-swebench-gemini3pro-15m1h,11.725935251891537,epoch_bin_perinstance
agen-epoch-swebench-gemini3pro-gt4h,12.859154441974672,epoch_bin_perinstance
agen-epoch-swebench-gemini3pro-lt15m,8.715210169404553,epoch_bin_perinstance
agen-epoch-swebench-glm5-15m1h,8.649238725918796,epoch_bin_perinstance
agen-epoch-swebench-glm5-gt4h,13.525985472242741,epoch_bin_perinstance
agen-epoch-swebench-glm5-lt15m,11.618026279960404,epoch_bin_perinstance
agen-epoch-swebench-glm52max-15m1h,27.10845298374694,epoch_bin_perinstance
agen-epoch-swebench-glm52max-1h4h,41.98985268386086,epoch_bin_perinstance
agen-epoch-swebench-glm52max-gt4h,39.52747641708196,epoch_bin_perinstance
agen-epoch-swebench-glm52max-lt15m,22.123053230468873,epoch_bin_perinstance
agen-epoch-swebench-gpt41-lt15m,4.187117618818513,epoch_bin_perinstance
agen-epoch-swebench-gpt4o1120-lt15m,11.520406273319946,epoch_bin_perinstance
agen-epoch-swebench-gpt51codex-15m1h,11.679477429741187,epoch_bin_perinstance
agen-epoch-swebench-gpt51codex-gt4h,14.643750912897413,epoch_bin_perinstance
agen-epoch-swebench-gpt51codex-lt15m,10.62752298225279,epoch_bin_perinstance
agen-epoch-swebench-gpt51high-15m1h,2.730310207536665,epoch_bin_perinstance
agen-epoch-swebench-gpt51high-lt15m,2.772084677825969,epoch_bin_perinstance
agen-epoch-swebench-gpt52high-15m1h,2.6503635952441105,epoch_bin_perinstance
agen-epoch-swebench-gpt52high-gt4h,2.6715015770634727,epoch_bin_perinstance
agen-epoch-swebench-gpt52high-lt15m,2.2520941547774362,epoch_bin_perinstance
agen-epoch-swebench-gpt53codex-15m1h,1.614374884014041,epoch_bin_perinstance
agen-epoch-swebench-gpt53codex-1h4h,1.9864888115871073,epoch_bin_perinstance
agen-epoch-swebench-gpt53codex-gt4h,1.1469699991549058,epoch_bin_perinstance
agen-epoch-swebench-gpt53codex-lt15m,1.3108087521261709,epoch_bin_perinstance
agen-epoch-swebench-gpt54high-15m1h,3.2844026425246344,epoch_bin_perinstance
agen-epoch-swebench-gpt54high-1h4h,4.564740504123447,epoch_bin_perinstance
agen-epoch-swebench-gpt54high-gt4h,3.3914590051064852,epoch_bin_perinstance
agen-epoch-swebench-gpt54high-lt15m,2.5362597287307436,epoch_bin_perinstance
agen-epoch-swebench-gpt5high-15m1h,9.694689195563678,epoch_bin_perinstance
agen-epoch-swebench-gpt5high-gt4h,5.75366702159814,epoch_bin_perinstance
agen-epoch-swebench-gpt5high-lt15m,9.660207111623244,epoch_bin_perinstance
agen-epoch-swebench-gpt5med-15m1h,3.3098051170192253,epoch_bin_perinstance
agen-epoch-swebench-gpt5med-lt15m,2.1943386611478237,epoch_bin_perinstance
agen-epoch-swebench-gpt5mini-15m1h,0.966908662180153,epoch_bin_perinstance
agen-epoch-swebench-gpt5mini-lt15m,0.9544683654690576,epoch_bin_perinstance
agen-epoch-swebench-kimik25-15m1h,23.35907490401095,epoch_bin_perinstance
agen-epoch-swebench-kimik25-gt4h,25.691366417403128,epoch_bin_perinstance
agen-epoch-swebench-kimik25-lt15m,16.10308708224276,epoch_bin_perinstance
agen-epoch-swebench-kimik26-15m1h,23.72253099027828,epoch_bin_perinstance
agen-epoch-swebench-kimik26-1h4h,31.07792277548858,epoch_bin_perinstance
agen-epoch-swebench-kimik26-lt15m,16.92252580731479,epoch_bin_perinstance
agen-epoch-swebench-o3med-15m1h,15.891184680188486,epoch_bin_perinstance
agen-epoch-swebench-o3med-lt15m,15.772820760853858,epoch_bin_perinstance
agen-epoch-swebench-opus4-15m1h,23.185644859458698,epoch_bin_perinstance
agen-epoch-swebench-opus4-gt4h,19.098078211807433,epoch_bin_perinstance
agen-epoch-swebench-opus4-lt15m,18.44172029323783,epoch_bin_perinstance
agen-epoch-swebench-opus41-15m1h,23.629995044596214,epoch_bin_perinstance
agen-epoch-swebench-opus41-1h4h,26.818216284296188,epoch_bin_perinstance
agen-epoch-swebench-opus41-gt4h,28.63427780122932,epoch_bin_perinstance
agen-epoch-swebench-opus41-lt15m,19.466597032262452,epoch_bin_perinstance
agen-epoch-swebench-opus45-15m1h,12.994852613916265,epoch_bin_perinstance
agen-epoch-swebench-opus45-1h4h,23.053509717764662,epoch_bin_perinstance
agen-epoch-swebench-opus45-gt4h,20.42285827503696,epoch_bin_perinstance
agen-epoch-swebench-opus45-lt15m,7.2934320908703665,epoch_bin_perinstance
agen-epoch-swebench-opus46-15m1h,9.540442302153053,epoch_bin_perinstance
