file,point_id,model_id,ai_cost_date,ai_cost_usd,price_window,input_rate_usd_per_m,cache_write_rate_usd_per_m,uncached_input_tokens,input_rate_term_usd,max_understatement_usd,max_understatement_pct,exact_repriced_usd,write_counter,basis
points.csv,game-balrog-crafter-gpt5minimal,gpt-5,2025-08-19,0.563244,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt41-lt15m,gpt-4.1-2025-04-14,2026-02-08,0.302103,2025-04-14..open,2.00,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt51codex-lt15m,gpt-5.1-2025-11-13,2026-02-17,0.285952,2025-11-13..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt51codex-15m1h,gpt-5.1-2025-11-13,2026-02-17,0.438097,2025-11-13..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt51high-lt15m,gpt-5.1-2025-11-13,2026-02-18,0.909101,2025-11-13..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt51high-15m1h,gpt-5.1-2025-11-13,2026-02-18,1.36182,2025-11-13..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt52high-lt15m,gpt-5.2-2025-12-11,2026-02-12,0.914089,2025-12-11..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt52high-15m1h,gpt-5.2-2025-12-11,2026-02-12,1.48835,2025-12-11..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt53codex-lt15m,gpt-5-3-codex,2026-02-25,0.386755,2026-02-05..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt53codex-15m1h,gpt-5-3-codex,2026-02-25,0.62672,2026-02-05..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt54high-lt15m,gpt-5.4-2026-03-05,2026-03-06,0.450485,2026-03-05..open,2.50,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt54high-15m1h,gpt-5.4-2026-03-05,2026-03-06,0.844715,2026-03-05..open,2.50,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt54high-1h4h,gpt-5.4-2026-03-05,2026-03-06,1.81131,2026-03-05..open,2.50,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5high-lt15m,gpt-5,2026-02-06,0.775185,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5high-15m1h,gpt-5,2026-02-06,1.06062,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5med-lt15m,gpt-5,2026-02-05,0.445932,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5med-15m1h,gpt-5,2026-02-05,0.63218,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5mini-lt15m,gpt-5-mini-2025-08-07,2026-02-01,0.0776673,2025-08-07..open,0.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5mini-15m1h,gpt-5-mini-2025-08-07,2026-02-01,0.107942,2025-08-07..open,0.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-o3med-lt15m,o3-2025-04-16,2026-02-12,2.40777,2025-06-10..open,2.00,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-o3med-15m1h,o3-2025-04-16,2026-02-12,2.75664,2025-06-10..open,2.00,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,work-apex-agents-gpt55,gpt-5-5,2026-09-13,3.11135,2026-04-23..open,5.00,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,work-apex-agents-gpt54,gpt-5.4-2026-03-05,2026-09-13,2.45485,2026-03-05..open,2.50,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt4o1120-lt15m,gpt-4o-2024-11-20,2026-02-11,0.729105,2024-10-01..open,2.50,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt51codex-gt4h,gpt-5.1-2025-11-13,2026-02-17,0.838256,2025-11-13..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt52high-gt4h,gpt-5.2-2025-12-11,2026-02-12,2.85163,2025-12-11..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt53codex-1h4h,gpt-5-3-codex,2026-02-25,1.26776,2026-02-05..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt53codex-gt4h,gpt-5-3-codex,2026-02-25,1.1977,2026-02-05..open,1.75,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt54high-gt4h,gpt-5.4-2026-03-05,2026-03-06,2.30525,2026-03-05..open,2.50,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-epoch-swebench-gpt5high-gt4h,gpt-5,2026-02-06,0.672982,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-gpt41-l1,gpt-4.1-2025-04-14,2025-04-14,0.08141309433962264,2025-04-14..open,2.00,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-gpt41-l2,gpt-4.1-2025-04-14,2025-04-14,0.12654523255813954,2025-04-14..open,2.00,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-gpt5-l1,gpt-5,2025-09-26,0.20092884905660377,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-gpt5-l2,gpt-5,2025-09-26,0.20979168604651163,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-gpt5-l3,gpt-5,2025-09-26,0.2853192788461538,2025-08-07..open,1.25,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o3minilow-l1,o3-mini-2025-01-31,2025-04-14,0.028585688679245283,2025-01-31..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o3minihigh-l1,o3-mini-2025-01-31,2025-04-14,0.07154738490566039,2025-01-31..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o3minihigh-l2,o3-mini-2025-01-31,2025-04-14,0.08169902558139537,2025-01-31..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o4minihigh-l1,o4-mini-2025-04-16,2025-04-20,0.17001703773584906,2025-04-16..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o4minihigh-l2,o4-mini-2025-04-16,2025-04-20,0.1266511604651163,2025-04-16..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o4minihigh-l3,o4-mini-2025-04-16,2025-04-20,0.15168420384615386,2025-04-16..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o4minilow-l1,o4-mini-2025-04-16,2025-04-23,0.1725187075471698,2025-04-16..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o4minilow-l2,o4-mini-2025-04-16,2025-04-23,0.1622113593023256,2025-04-16..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
points.csv,agen-gaia-hal-o4minilow-l3,o4-mini-2025-04-16,2025-04-23,0.22496434230769233,2025-04-16..open,1.10,—,—,—,0,0,—,not_charged,"model predates the 2026-07-09 cache-write charge; OpenAI prints ""-"" in the Cache writes column for it"
